ID,Age,Service,Grade_Score,Job_Family
751,26,2,1,Craft Engineer Trainee
752,31,2,1,Craft Engineer Trainee
753,21,2,1,Craft Engineer Trainee
754,28,2,1,Craft Engineer Trainee
755,23,2,1,Craft Engineer Trainee
756,27,2,1,Craft Engineer Trainee
757,30,2,1,Craft Engineer Trainee
758,28,2,1,Craft Engineer Trainee
759,25,2,1,Craft Engineer Trainee
760,24,2,4,Manufacturing Engineering
761,21,2,1,Craft Engineer Trainee
762,31,2,1,Craft Engineer Trainee
763,21,2,1,Craft Engineer Trainee
764,62,2,1,Craft Engineer Trainee
765,19,2,1,Craft Engineer Trainee
766,27,2,4,Facility Engineer
767,29,2,1,Manufacturing Engineering
768,39,2,3,Manufacturing Engineering
769,43,2,3,Craft Engineer Specialist
770,26,2,2,Craft Engineer Practitioner
771,36,2,4,Facility Engineer
772,50,2,5,Facility Engineer
773,26,2,3,HR Graduate
774,17,2,1,Facility Engineer
775,26,2,1,Craft Engineer Trainee
776,23,2,1,Craft Engineer Trainee
777,25,2,4,Maintenance Planner
778,44,2,5,Principal Asset Engineer
779,27,2,3,HR Graduate
780,23,2,1,Craft Engineer Trainee
781,20,2,3,HR Graduate
782,39,2,4,Maintenance Engineer
783,35,2,6,Principal Asset Engineer
784,25,2,4,Manufacturing Engineering
785,55,2,4,Manufacturing Engineering
786,42,2,2,Craft Engineer Practitioner
787,21,2,1,Facility Engineer
788,16,2,1,Craft Engineer Trainee
789,29,2,1,Manufacturing Engineering
790,26,2,1,Facility Engineer
791,23,2,1,Facility Engineer
792,18,2,1,Facility Engineer
793,73,2,5,Facility Engineer
794,22,2,1,Facility Engineer
795,27,2,1,Facility Engineer
796,24,2,1,Craft Engineer Trainee
797,23,2,3,HR Graduate
798,25,1,1,Facility Engineer
799,24,2,1,Facility Engineer
800,62,2,4,Manufacturing Engineering
801,21,2,1,Craft Engineer Trainee
802,28,2,1,Craft Engineer Trainee
803,24,2,1,Craft Engineer Trainee
804,26,2,1,Facility Engineer
805,26,2,1,Facility Engineer
806,37,2,5,Facility Engineer
807,23,2,1,Facility Engineer
808,18,2,1,Craft Engineer Trainee
809,57,2,4,Facility Engineer
810,22,2,1,Craft Engineer Trainee
811,40,2,6,Principal Asset Engineer
812,51,2,6,Manufacturing Engineering
813,25,2,2,Craft Engineer Practitioner
814,21,2,4,Manufacturing Engineering
815,23,2,1,Facility Engineer
816,19,2,1,Craft Engineer Trainee
817,26,2,3,HR Graduate
818,25,2,1,Manufacturing Engineering
819,59,2,5,Facility Engineer
820,20,2,1,Facility Engineer
821,20,2,1,Manufacturing Engineering
822,16,2,1,Craft Engineer Trainee
823,31,2,4,Facility Engineer
824,31,2,1,Craft Engineer Trainee
825,20,2,1,Manufacturing Engineering
826,17,2,1,Craft Engineer Trainee
827,22,2,1,Facility Engineer
828,24,2,1,Craft Engineer Trainee
829,34,2,4,Manufacturing Engineering
830,20,2,1,Manufacturing Engineering
831,21,2,1,Craft Engineer Trainee
832,26,2,1,Craft Engineer Trainee
833,22,2,1,Facility Engineer
834,23,2,3,Manufacturing Engineering
835,20,2,1,Manufacturing Engineering
836,17,2,1,Craft Engineer Trainee
837,16,2,1,Facility Engineer
838,54,2,1,Craft Engineer Trainee
839,23,2,4,Facility Engineer
840,17,2,1,Craft Engineer Trainee
841,34,2,5,Manufacturing Engineering
842,25,2,1,Craft Engineer Trainee
843,21,2,1,Facility Engineer
844,52,2,2,Craft Engineer Practitioner
845,17,2,1,Craft Engineer Trainee
846,19,2,1,Craft Engineer Trainee
847,29,2,1,Manufacturing Engineering
848,55,2,5,Facility Engineer
849,17,2,1,Manufacturing Engineering
850,18,2,1,Craft Engineer Trainee
851,16,2,1,Facility Engineer
852,18,2,1,Facility Engineer
853,16,2,1,Craft Engineer Trainee
854,25,2,1,Craft Engineer Trainee
855,25,2,1,Facility Engineer
856,29,2,1,Manufacturing Engineering
857,34,2,4,Manufacturing Engineering
858,24,2,1,Craft Engineer Trainee
859,28,2,1,Facility Engineer
860,25,2,1,Craft Engineer Trainee
861,25,2,1,Facility Engineer
862,20,2,1,Craft Engineer Trainee
863,24,2,1,Facility Engineer
864,18,2,1,Craft Engineer Trainee
865,19,2,1,Craft Engineer Trainee
866,22,2,1,Facility Engineer
867,18,2,1,Craft Engineer Trainee
868,29,2,1,Facility Engineer
869,18,2,1,Facility Engineer
870,21,2,1,Facility Engineer
871,22,2,1,Facility Engineer
872,25,2,1,Manufacturing Engineering
873,25,2,1,Craft Engineer Trainee
874,18,2,1,Facility Engineer
875,52,2,2,Craft Engineer Practitioner
876,23,2,1,Craft Engineer Trainee
877,23,2,4,Facility Engineer
878,17,2,1,Craft Engineer Trainee
879,22,2,3,HR Graduate
880,21,2,1,Craft Engineer Trainee
881,54,2,6,Principal Asset Engineer
882,16,2,1,Craft Engineer Trainee
883,17,2,1,Craft Engineer Trainee
884,18,2,1,Manufacturing Engineering
885,26,2,1,Craft Engineer Trainee
886,36,2,4,Maintenance Engineer
887,29,2,4,Facility Engineer
888,19,2,1,Craft Engineer Trainee
889,20,2,1,Facility Engineer
890,23,2,1,Craft Engineer Trainee
891,23,2,1,Craft Engineer Trainee
892,32,2,4,Manufacturing Engineering
893,40,2,5,Configuration Management
894,22,2,1,Facility Engineer
895,22,2,1,Craft Engineer Trainee
896,56,2,4,Manufacturing Engineering
897,25,2,3,HR Graduate
898,33,1,3,Manufacturing Engineering
899,22,1,4,Facility Engineer
900,25,2,3,HR Graduate
901,19,2,1,Craft Engineer Trainee
902,25,2,4,Facility Engineer
903,33,2,5,Facility Engineer
904,41,2,6,Manufacturing Engineering
905,29,2,4,Manufacturing Engineering
906,27,2,1,Craft Engineer Trainee
907,27,2,3,Manufacturing Engineering
908,38,2,2,Craft Engineer Practitioner
909,20,2,3,Manufacturing Engineering
910,21,2,3,Facility Engineer
911,20,2,3,Manufacturing Engineering
912,28,2,3,Facility Engineer
913,29,2,3,Manufacturing Engineering
914,23,2,3,Manufacturing Engineering
915,26,2,4,Manufacturing Engineering
916,36,1,4,Manufacturing Engineering
917,33,2,2,Craft Engineer Practitioner
918,28,2,3,Facility Engineer
919,55,2,4,Manufacturing Engineering
920,28,2,3,Facility Engineer
921,38,2,2,Craft Engineer Practitioner
922,30,2,3,Facility Engineer
923,56,2,4,Facility Engineer
924,23,2,3,HR Graduate
925,29,2,3,Facility Engineer
926,46,2,4,Manufacturing Engineering
927,21,2,3,Manufacturing Engineering
928,49,1,5,Manufacturing Engineering
929,36,2,4,Maintenance Planner
930,27,2,1,Craft Engineer Trainee
931,29,2,3,Manufacturing Engineering
932,37,2,3,Maintenance Planner
933,31,2,4,Manufacturing Engineering
934,25,2,3,Manufacturing Engineering
935,27,2,4,Manufacturing Engineering
936,42,2,3,Craft Engineer Specialist
937,58,1,2,Craft Engineer Practitioner
938,55,1,5,Maintenance Engineer
939,59,2,4,Facility Engineer
940,22,2,3,HR Graduate
941,29,1,4,Facility Engineer
942,54,1,2,Craft Engineer Practitioner
943,26,2,3,Manufacturing Engineering
944,36,2,2,Craft Engineer Practitioner
945,34,1,5,Facility Engineer
946,48,1,5,Information Specialist
947,30,1,4,Facility Engineer
948,66,1,4,Maintenance Engineer
949,58,1,4,Engineering Business Specialist
950,67,1,5,Facility Engineer
951,50,1,4,Engineering Business Specialist
952,38,1,4,Manufacturing Engineering
953,28,1,4,Facility Engineer
954,22,1,4,Maintenance Engineer
955,61,1,2,Craft Engineer Practitioner
956,51,1,2,Craft Engineer Practitioner
957,51,1,4,Facility Engineer
958,36,1,4,Facility Engineer
959,24,1,3,Manufacturing Engineering
960,35,1,4,Facility Engineer
961,53,1,4,Facility Engineer
962,42,1,2,Craft Engineer Practitioner
963,32,1,3,Facility Engineer
964,44,1,4,Facility Engineer
965,36,1,4,Maintenance Planner
966,64,1,5,Facility Engineer
967,26,1,4,Facility Engineer
968,26,1,4,Manufacturing Engineering
969,33,1,4,Facility Engineer
970,29,1,3,Manufacturing Engineering
971,50,1,3,Craft Engineer Specialist
972,25,1,3,Manufacturing Engineering
973,47,1,5,Maintenance Engineer
974,42,1,3,Craft Engineer Specialist
975,41,1,4,Facility Engineer
976,20,1,4,Engineering Business Specialist
977,46,1,4,Manufacturing Engineering
978,57,1,4,Manufacturing Engineering
979,29,1,3,Craft Engineer Specialist
980,31,1,2,Craft Engineer Practitioner
981,35,1,4,Facility Engineer
982,42,1,5,Manufacturing Engineering
983,36,1,4,Manufacturing Engineering
984,54,1,4,Manufacturing Engineering
985,53,1,3,Craft Engineer Specialist
986,27,1,4,Facility Engineer
987,30,1,6,Manufacturing Engineering
988,54,1,5,Facility Engineer
989,32,1,2,Craft Engineer Practitioner
990,34,1,4,Manufacturing Engineering
991,53,1,5,Facility Engineer
992,58,1,5,Maintenance Engineer
993,38,1,4,Manufacturing Engineering
994,21,1,3,Manufacturing Engineering
995,31,1,3,Craft Engineer Specialist
996,34,1,3,Craft Engineer Specialist
997,52,1,4,Facility Engineer
998,27,1,3,Manufacturing Engineering
999,32,1,4,Facility Engineer
1000,52,1,6,Principal Asset Engineer
1001,35,1,4,Facility Engineer
1002,32,1,5,Facility Engineer
1003,67,1,5,Manufacturing Engineering
1004,50,1,2,Craft Engineer Practitioner
1005,20,1,4,Facility Engineer
1006,51,1,3,Craft Engineer Specialist
1007,40,1,2,Craft Engineer Practitioner
1008,30,1,3,Craft Engineer Specialist
1009,41,1,1,Craft Engineer Trainee
1010,25,1,3,Craft Engineer Specialist
1011,16,1,1,Craft Engineer Trainee
1012,37,1,1,Craft Engineer Trainee
1013,16,1,1,Facility Engineer
1014,23,1,3,HR Graduate
1015,16,1,1,Craft Engineer Trainee
1016,24,1,3,Manufacturing Engineering
1017,17,1,1,Craft Engineer Trainee
1018,23,1,3,HR Graduate
1019,18,1,1,Facility Engineer
1020,23,1,3,HR Graduate
1021,20,1,1,Craft Engineer Trainee
1022,22,1,2,Manufacturing Engineering
1023,50,1,6,Facility Engineer
1024,29,1,3,HR Graduate
1025,18,1,1,Manufacturing Engineering
1026,37,1,4,Manufacturing Engineering
1027,29,1,1,Craft Engineer Trainee
1028,18,1,1,Facility Engineer
1029,27,1,1,Craft Engineer Trainee
1030,22,1,3,HR Graduate
1031,18,1,1,Craft Engineer Trainee
1032,18,1,1,Facility Engineer
1033,16,1,1,Manufacturing Engineering
1034,47,1,5,Facility Engineer
1035,26,1,1,Craft Engineer Trainee
1036,18,1,1,Craft Engineer Trainee
1037,26,1,1,Facility Engineer
1038,27,1,3,HR Graduate
1039,34,1,5,Manufacturing Engineering
1040,17,1,1,Craft Engineer Trainee
1041,58,1,5,Manufacturing Engineering
1042,28,1,4,Manufacturing Engineering
1043,65,1,5,Facility Engineer
1044,38,1,4,Facility Engineer
1045,38,1,4,Facility Engineer
1046,17,1,1,Craft Engineer Trainee
1047,43,1,5,Facility Engineer
1048,16,1,1,Facility Engineer
1049,64,1,4,Facility Engineer
1050,53,1,2,Craft Engineer Practitioner
1051,17,1,1,Craft Engineer Trainee
1052,20,1,3,HR Graduate
1053,37,0,5,Manufacturing Engineering
1054,18,1,1,Facility Engineer
1055,32,1,5,Facility Engineer
1056,27,1,4,Facility Engineer
1057,48,1,5,Facility Engineer
1058,57,1,5,Configuration Management
1059,26,1,4,Manufacturing Engineering
1060,33,1,3,Craft Engineer Specialist
1061,26,1,2,Manufacturing Engineering
1062,21,1,1,Craft Engineer Trainee
1063,37,1,3,Craft Engineer Specialist
1064,19,1,1,Facility Engineer
1065,29,1,1,Craft Engineer Trainee
1066,27,1,3,Maintenance Planner
1067,29,1,4,Facility Engineer
1068,23,1,3,Engineering Early Careers
1069,52,0,6,Principal Asset Engineer
1070,47,0,5,Maintenance Engineer
1071,37,1,2,Craft Engineer Practitioner
1072,25,1,3,Engineering Early Careers
1073,64,1,5,Manufacturing Engineering
1074,19,1,1,Craft Engineer Trainee
1075,51,0,4,Maintenance Engineer
1076,50,0,4,Maintenance Engineer
1077,22,1,3,Manufacturing Engineering
1078,22,1,3,Engineering Early Careers
1079,19,1,1,Craft Engineer Trainee
1080,16,1,1,Craft Engineer Trainee
1081,29,1,3,Engineering Early Careers
1082,45,1,4,Manufacturing Engineering
1083,41,1,3,Maintenance Planner
1084,37,1,4,Maintenance Engineer
1085,35,0,2,Craft Engineer Practitioner
1086,34,1,4,Manufacturing Engineering
1087,20,1,4,Manufacturing Engineering
1088,38,0,4,Maintenance Engineer
1089,51,0,4,Facility Engineer
1090,25,1,2,Craft Engineer Practitioner
1091,38,0,2,Craft Engineer Practitioner
1092,55,0,3,Craft Engineer Specialist
1093,53,0,5,Maintenance Engineer
1094,28,0,3,Manufacturing Engineering
1095,44,1,7,Manufacturing Engineering
1096,26,0,4,Facility Engineer
1097,39,0,6,Manufacturing Engineering
1098,26,0,4,Facility Engineer
1099,43,0,4,Manufacturing Engineering
1100,23,0,3,Facility Engineer
